The Rank Group Plc | Annual Report and Financial Statements 2017
2 | The Rank Group Plc | Annual Report and Financial Statements 2017
4 | The Rank Group Plc | Annual Report and Financial Statements 2017
8 | The Rank Group Plc | Annual Report and Financial Statements 2017
16 | The Rank Group Plc | Annual Report and Financial Statements 2017
18 | The Rank Group Plc | Annual Report and Financial Statements 2017 In Spain, where the economy continues to recover, 
22 | The Rank Group Plc | Annual Report and Financial Statements 2017 Retail bingo
24 | The Rank Group Plc | Annual Report and Financial Statements 2017
26 | The Rank Group Plc | Annual Report and Financial Statements 2017 Responsible gambling in  
28 | The Rank Group Plc | Annual Report and Financial Statements 2017 Our employees
30 | The Rank Group Plc | Annual Report and Financial Statements 2017
32 | The Rank Group Plc | Annual Report and Financial Statements 2017
34 | The Rank Group Plc | Annual Report and Financial Statements 2017 Operating review | UK digital
36 | The Rank Group Plc | Annual Report and Financial Statements 2017
38 | The Rank Group Plc | Annual Report and Financial Statements 2017 2016/17 2015/16
40 | The Rank Group Plc | Annual Report and Financial Statements 2017
42 | The Rank Group Plc | Annual Report and Financial Statements 2017
44 | The Rank Group Plc | Annual Report and Financial Statements 2017
48 | The Rank Group Plc | Annual Report and Financial Statements 2017 Governance
52 | The Rank Group Plc | Annual Report and Financial Statements 2017 Board succession
54 | The Rank Group Plc | Annual Report and Financial Statements 2017 Board meetings
58 | The Rank Group Plc | Annual Report and Financial Statements 2017 AUDIT COMMITTEE
62 | The Rank Group Plc | Annual Report and Financial Statements 2017 Property leases – At both the half and the full year, the 
64 | The Rank Group Plc | Annual Report and Financial Statements 2017 NOMINA TIONS COMMITTEE
66 | The Rank Group Plc | Annual Report and Financial Statements 2017 Committee meeting attendance
68 | The Rank Group Plc | Annual Report and Financial Statements 2017 FINANCE COMMITTEE
70 | The Rank Group Plc | Annual Report and Financial Statements 2017 Remuneration policy
72 | The Rank Group Plc | Annual Report and Financial Statements 2017 Policy table
76 | The Rank Group Plc | Annual Report and Financial Statements 2017 Directors’ single remuneration figure (Audited)
78 | The Rank Group Plc | Annual Report and Financial Statements 2017 Finance director
80 | The Rank Group Plc | Annual Report and Financial Statements 2017 Total shareholder return
84 | The Rank Group Plc | Annual Report and Financial Statements 2017 Directors’ report
86 | The Rank Group Plc | Annual Report and Financial Statements 2017 Rights and restrictions attaching to shares
90 | The Rank Group Plc | Annual Report and Financial Statements 2017 Overview of our audit approach
92 | The Rank Group Plc | Annual Report and Financial Statements 2017 Risk Our response to the risk
94 | The Rank Group Plc | Annual Report and Financial Statements 2017 Changes from the prior year
96 | The Rank Group Plc | Annual Report and Financial Statements 2017 Auditor’s responsibilities for the audit of  
98 | The Rank Group Plc | Annual Report and Financial Statements 2017 Group statement of comprehensive income for the year ended 30 june 2017
100 | The Rank Group Plc | Annual Report and Financial Statements 2017 Statements of changes in equity for the year ended 30 june 2017
102 | The Rank Group Plc | Annual Report and Financial Statements 2017 1 General information and  
104 | The Rank Group Plc | Annual Report and Financial Statements 2017 Although disclosed as revenue, gaming win (other than from 
106 | The Rank Group Plc | Annual Report and Financial Statements 2017 1.12 Intangible assets
108 | The Rank Group Plc | Annual Report and Financial Statements 2017 Deferred tax assets are recognised to the extent that it is 
110 | The Rank Group Plc | Annual Report and Financial Statements 2017 Year ended 30 June 2016
112 | The Rank Group Plc | Annual Report and Financial Statements 2017 Year ended 30 June 2016
114 | The Rank Group Plc | Annual Report and Financial Statements 2017 Net credit from property leases
118 | The Rank Group Plc | Annual Report and Financial Statements 2017 9 Earnings per share
122 | The Rank Group Plc | Annual Report and Financial Statements 2017 The table below outlines the possible changes in key assumptions that could cause the carrying value of goodwill to exceed its 
124 | The Rank Group Plc | Annual Report and Financial Statements 2017 As a result of our testing the following impairment charges and reversals were recognised during the year:
126 | The Rank Group Plc | Annual Report and Financial Statements 2017 15 Other receivables
128 | The Rank Group Plc | Annual Report and Financial Statements 2017 18 Financial assets and liabilities
130 | The Rank Group Plc | Annual Report and Financial Statements 2017 19 Financial risk management objectives and policies
136 | The Rank Group Plc | Annual Report and Financial Statements 2017 22 Share capital
138 | The Rank Group Plc | Annual Report and Financial Statements 2017 26 Employees and directors
The Group recognised a £0.8m credit (year ended 30 June 2016: £1.9m charge) in operating profit from accounting for share-based 
During the year, Rank Group Finance Plc, a subsidiary of the Company, provided additional cash to the Company of £26.1m  
144 | The Rank Group Plc | Annual Report and Financial Statements 2017 Five year review
148 | The Rank Group Plc | Annual Report and Financial Statements 2017 For more information, visit our website.
