section_name,score,clean_english,spanish,greek,clean_spanish,clean_greek
Chairman’s statement,563.1698346201448,chairman statement,declaración del presidente,Δήλωση του προέδρου,declaración presidente,δήλωση προέδρου
Highlights,448.4229749294871,highlights,Reflejos,Καλύτερες στιγμές,reflejos,καλύτερες στιγμές
Chief Executive’s Review,368.7408026508831,chief executive review,Revisión del director ejecutivo,Επιθεώρηση Διευθύνοντος Συμβούλου,revisión director ejecutivo,επιθεώρηση διευθύνοντος συμβούλου
At a glance,171.90833296083144,glance,de un vistazo,Με μια ματιά,vistazo,μια ματιά
Chief Executive’s Statement,111.8921430621871,chief executive statement,Declaración del Director Ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración director ejecutivo,δήλωση διευθύνοντος συμβούλου
start,93.9458197743788,start,comienzo,αρχή,comienzo,αρχή
Chief Executive’s Report,58.31777855208011,chief executive report,Informe del director ejecutivo,Έκθεση Διευθύνοντος Συμβούλου,informe director ejecutivo,έκθεση διευθύνοντος συμβούλου
Our strategy,36.13553265991874,strategy,nuestra estrategia,Η στρατηγική μας,estrategia,στρατηγική μας
Chairman’s letter,16.05167139011204,chairman letter,carta del presidente,Επιστολή του Προέδρου,carta presidente,επιστολή προέδρου
Chairman’s review,12.419915633304502,chairman review,revisión del presidente,Αξιολόγηση προέδρου,revisión presidente,αξιολόγηση προέδρου
Notice of Annual General Meeting,11.418823752850953,notice annual general meeting,Aviso de reunión general anual,Ανακοίνωση Ετήσιας Γενικής Συνέλευσης,aviso reunión general anual,ανακοίνωση ετήσιας γενικής συνέλευσης
Business review,10.565792343992566,business review,Revision del negocio,Επιχειρηματική κριτική,revision negocio,επιχειρηματική κριτική
Chairman’s introduction,10.172819466380332,chairman introduction,Introducción del presidente,Εισαγωγή του Προέδρου,introducción presidente,εισαγωγή προέδρου
Overview,9.763240090167402,overview,Visión de conjunto,ΣΦΑΙΡΙΚΗ ΕΙΚΟΝΑ,visión conjunto,σφαιρικη εικονα
Report,8.599952041013694,report,Informe,Κανω ΑΝΑΦΟΡΑ,informe,κανω αναφορα
Shareholder Information,7.651821591165535,shareholder information,Información del accionista,Πληροφορίες Μετόχων,información accionista,πληροφορίες μετόχων
Financial Review,7.600909951226696,financial review,Revisión financiera,Οικονομικός απολογισμός,revisión financiera,οικονομικός απολογισμός
Our business model,7.048554589992432,business model,Nuestro modelo de negocio,Το επιχειρηματικό μας μοντέλο,modelo negocio,επιχειρηματικό μας μοντέλο
Shareholder information,6.642050902705887,shareholder information,Información del accionista,Πληροφορίες για τους μετόχους,información accionista,πληροφορίες τους μετόχους
Executive Committee,6.463695945074693,executive committee,Comité Ejecutivo,Εκτελεστική Επιτροπή,comité ejecutivo,εκτελεστική επιτροπή
Chief Executive’s Q&A,6.144182735024992,chief executive q,Preguntas y respuestas del director ejecutivo,Ερωτήσεις και απαντήσεις του Διευθύνοντος Συμβούλου,preguntas respuestas director ejecutivo,ερωτήσεις απαντήσεις διευθύνοντος συμβούλου
statement,5.928260135125424,statement,declaración,δήλωση,declaración,δήλωση
Chief Executive,5.211142670326909,chief executive,Director,Γενικός διευθυντής,director,γενικός διευθυντής
Chairman,5.025971372621402,chairman,Presidente,Πρόεδρος,presidente,πρόεδρος
Key performance indicators,4.906808958847741,key performance indicators,Indicadores clave de rendimiento,Βασικοί Δείκτες Απόδοσης,indicadores clave rendimiento,βασικοί δείκτες απόδοσης
Chief Executive Officer’s review,4.825136260687303,chief executive officer review,Revisión del director ejecutivo,Αναθεώρηση του Διευθύνοντος Συμβούλου,revisión director ejecutivo,αναθεώρηση διευθύνοντος συμβούλου
Management,4.411756612509942,management,Gestión,Διαχείριση,gestión,διαχείριση
