section_name,score
Chairman’s Statement,258.3235409011416
Chairman’s statement,248.38691905759592
Highlights,204.8765366957901
Chief Executive’s Review,117.71206133554467
Chief Executive’s review,104.32181892450329
start,93.94581977437879
Financial Highlights,59.09129171046692
Financial highlights,44.45097748380377
Chief Executive’s Statement,38.947681489020404
Chief Executive’s Report,32.26688617683165
Chief Executive’s statement,31.808760766320354
At a glance,29.99457272345307
Chief Executive Officer’s review,22.475189703355284
Group at a glance,20.91304146122764
Chief executive’s review,19.607252912628233
CHAIRMAN’S STATEMENT,18.05381695706053
Chief Executive Officer’s Review,16.648376162467038
Our strategy,16.62203005676601
At a Glance,15.234880334683263
Group at a Glance,14.992335283785062
Chief Executive Officer’s Statement,11.697359669602271
Notice of Annual General Meeting,11.418823752850953
Highlights of the year,10.01508415486472
chairman’s statement,10.002907628553828
Chief Executive Officer’s statement,9.996917444437706
Chief Executive’s report,9.877962250380975
CHIEF EXECUTIVE’S REVIEW,8.781821263095615
Chairman’s introduction,8.774965893093995
Chairman’s letter,8.443037101030937
Chairman’ s statement,8.323987017773232
Strategy,8.157162084277239
HIGHLIGHTS,7.818993448503443
Chairman’s review,7.7981867529340665
Shareholder Information,7.651821591165535
Group Chief Executive’s review,7.530078443864964
Our Strategy,7.366729938162239
Our business at a glance,7.170717867408143
Performance highlights,6.959163330532891
Shareholder information,6.642050902705887
highlights,6.221415079590821
Business review,6.129282925307448
chief executive’s review,5.647271215451453
Group Chief Executive’s Review,5.402062724981409
Operational Highlights,4.944203668904294
Chairman’s Letter,4.917451478815092
Key performance indicators,4.906808958847741
Chief executive’s statement,4.750434304162364
Key Highlights,4.424331953295128
Financial and Operational Highlights,4.422359563331121
FINANCIAL HIGHLIGHTS,4.359456948760687
